"","release_year","genre_early_main","percent"
"205",1978,"Nu Metal",0
"206",1979,"Nu Metal",0
"207",1980,"Nu Metal",0
"208",1981,"Nu Metal",0.00862068965517241
"209",1982,"Nu Metal",0
"210",1983,"Nu Metal",0.00966183574879227
"211",1984,"Nu Metal",0.00307692307692308
"212",1985,"Nu Metal",0.008
"213",1986,"Nu Metal",0.00533333333333333
"214",1987,"Nu Metal",0.00709219858156028
"215",1988,"Nu Metal",0.00452488687782805
"216",1989,"Nu Metal",0.006
"217",1990,"Nu Metal",0.0110294117647059
"218",1991,"Nu Metal",0.0159010600706714
"219",1992,"Nu Metal",0.0158227848101266
"220",1993,"Nu Metal",0.0236593059936909
"221",1994,"Nu Metal",0.0235849056603774
"222",1995,"Nu Metal",0.0305676855895196
"223",1996,"Nu Metal",0.0444763271162123
"224",1997,"Nu Metal",0.0358620689655172
"225",1998,"Nu Metal",0.0365239294710327
"226",1999,"Nu Metal",0.0487540628385699
"227",2000,"Nu Metal",0.0487804878048781
"228",2001,"Nu Metal",0.0343891402714932
"229",2002,"Nu Metal",0.0427807486631016
"230",2003,"Nu Metal",0.0416141235813367
"231",2004,"Nu Metal",0.0431458219552157
"232",2005,"Nu Metal",0.0377651319192964
"233",2006,"Nu Metal",0.038160469667319
"234",2007,"Nu Metal",0.0451345755693582
"235",2008,"Nu Metal",0.0405727923627685
"236",2009,"Nu Metal",0.0282700421940928
"237",2010,"Nu Metal",0.0301284891448826
"238",2011,"Nu Metal",0.0341400172860847
"239",2012,"Nu Metal",0.0275150472914875
"240",2013,"Nu Metal",0.0219216417910448
"241",2014,"Nu Metal",0.0304007369875633
"242",2015,"Nu Metal",0.0222339862361038
"243",2016,"Nu Metal",0.0262605042016807
"244",2017,"Nu Metal",0.0212632895559725
"245",2018,"Nu Metal",0.0124127230411171
"246",1970,"Progressive Metal",0
"247",1971,"Progressive Metal",0
"248",1972,"Progressive Metal",0
"249",1973,"Progressive Metal",0
"250",1974,"Progressive Metal",0
"251",1975,"Progressive Metal",0
"252",1976,"Progressive Metal",0
"253",1977,"Progressive Metal",0
"254",1978,"Progressive Metal",0
"255",1979,"Progressive Metal",0
"256",1980,"Progressive Metal",0.00980392156862745
"257",1981,"Progressive Metal",0
"258",1982,"Progressive Metal",0
"259",1983,"Progressive Metal",0.00483091787439614
